                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 1.1042,                   1.16,                 1.1581,                0.69838,                 0.6304,                0.66793,                0.46667,                 1.0469,                 1.0015,                 1.1709,              5.824e-06,              5.824e-06,              5.824e-06
                     83,                 1.1064,                 1.1549,                 1.1689,                0.69412,                0.63274,                0.67098,                0.47013,                 1.0475,                0.99172,                   1.17,             5.5468e-06,             5.5468e-06,             5.5468e-06
                     84,                 1.0836,                 1.1368,                 1.1597,                 0.6875,                0.65074,                0.67098,                0.47068,                 1.0475,                0.99302,                 1.1697,             5.2696e-06,             5.2696e-06,             5.2696e-06
                     85,                 1.1015,                 1.1703,                 1.1642,                0.70525,                0.63176,                0.67235,                0.47068,                 1.0493,                0.98852,                 1.1719,             4.9924e-06,             4.9924e-06,             4.9924e-06
                     86,                 1.0955,                 1.1272,                 1.1534,                0.69313,                0.64485,                0.67153,                0.46973,                 1.0494,                0.98432,                 1.1714,             4.7152e-06,             4.7152e-06,             4.7152e-06
                     87,                 1.1058,                 1.1019,                 1.1697,                0.70253,                0.64291,                0.67199,                0.46942,                 1.0483,                0.98732,                 1.1694,              4.438e-06,              4.438e-06,              4.438e-06
                     88,                 1.0924,                 1.1129,                 1.1592,                0.70599,                0.64959,                0.67427,                0.47127,                 1.0477,                0.98794,                 1.1705,             4.1608e-06,             4.1608e-06,             4.1608e-06
                     89,                 1.1033,                 1.1581,                 1.1695,                0.70505,                0.64546,                0.67367,                0.47195,                 1.0458,                0.98772,                 1.1701,             3.8836e-06,             3.8836e-06,             3.8836e-06
                     90,                 1.1108,                 1.1182,                 1.1514,                0.71161,                0.64364,                0.67132,                0.47131,                 1.0461,                0.98724,                 1.1679,             3.6064e-06,             3.6064e-06,             3.6064e-06
                     91,                 1.1012,                 1.1836,                 1.1808,                0.68564,                0.61679,                0.65135,                0.45354,                 1.0554,                 1.0202,                  1.173,             3.3292e-06,             3.3292e-06,             3.3292e-06
